2174600408,15927,Thomas Wischgoll,115,685,45,175,364,7,\N
2103155697,14372,Jianping Fan,296,5164,44,176,1078,16,\N
2044106535,14916,Yuichi Murai,286,1549,44,177,192,8,\N
2130365379,15098,Seok Hee Hong,198,1851,44,178,567,12,\N
2138221895,15927,Marc Streit,72,1133,44,179,849,16,\N
2162039953,16096,Fabian Beck,61,1126,44,180,678,15,\N
2013511199,14913,Victoria Interrante,132,2696,44,181,1113,14,\N
2013743603,13801,StÃ©phane Ducasse,456,8968,44,182,1711,20,\N
192858880,13929,Alan M. MacEachren,215,8877,44,183,4622,25,\N
2133649610,13237,Guang Zhong Yang,930,16747,43,184,720,17,\N
2112764583,14967,Jessie Kennedy,143,2537,43,185,676,13,\N
618659213,14507,Dieter W. Fellner,380,2583,43,186,350,11,\N
2289414603,13694,Elke A. Rundensteiner,537,8782,43,187,1047,15,\N
2123850919,14214,Margaret Anne Storey,192,6509,43,188,1773,20,\N
2100961798,16127,Benjamin Bach,64,968,43,189,667,13,\N
2104129307,12878,Dacheng Tao,1100,38303,43,190,2355,22,1
1094438419,16488,Kai Lawonn,78,390,43,191,275,11,\N
1993486354,12882,Loet Leydesdorff,955,29826,43,192,1387,14,\N
2116391462,15234,Nobuyuki Takenaka,217,867,43,193,131,7,\N
2028355016,15903,Ingrid Hotz,108,870,43,194,256,9,\N
1954225133,15460,Masaaki Kawahashi,173,806,42,195,505,6,\N
2294614697,14845,Masahiro Takei,392,1005,42,196,291,3,\N
2682213054,14759,Torsten MÃ¶ller,139,3902,42,197,1799,21,\N
2007505320,12391,Max A. Viergever,795,38953,42,198,1065,17,\N
2032128463,15324,Ulf Tiede,69,1314,42,199,1348,20,\N
2069749540,13073,Mark Billinghurst,557,15404,42,200,1282,14,\N
709117735,14616,Miki Haseyama,481,1268,42,201,65,4,\N
2161150395,14598,Guangtao Zhai,302,4296,41,202,1143,14,\N
2030039896,14236,RÃ¼diger Westermann,180,5683,41,203,733,16,\N
1986472849,15440,Luis Gustavo Nonato,145,1583,41,204,615,14,\N
2011713265,13089,Touradj Ebrahimi,596,15935,41,205,1659,13,\N
1879266857,15444,Nathalie Henry Riche,95,2042,41,206,1255,18,\N
2158780083,15683,Ross Brown,154,720,41,207,305,10,\N
2124146674,16331,Souichi Saeki,108,81,41,208,7,2,\N
391330844,13922,Paolo Cignoni,182,7982,41,209,1307,17,\N
693769535,13819,Steven P. Reiss,177,5180,41,210,958,17,\N
2062765584,15069,Nashwan Dawood,222,1604,41,211,374,10,\N
2117074476,15567,Weidong Huang,139,1185,41,212,453,9,\N
2676222217,15878,Anastasia Bezerianos,74,1129,40,213,735,15,\N
2136032002,13880,Gabor Fichtinger,468,7673,40,214,915,15,\N
2135628551,16589,Charles Perin,60,351,40,215,306,9,\N
2196043388,12773,Henry Fuchs,326,13265,40,216,2405,22,1
2304186621,14014,Hans Peter Meinzer,387,6604,40,217,866,14,\N
2924299326,15475,Masahiro Nishida,136,641,40,218,383,12,\N
2570261396,14691,Chris Shaw,151,2184,40,219,456,12,\N
2104903838,15582,Hongfeng Yu,97,1419,40,220,814,16,\N
2119006874,15625,Alexandre Bergel,139,1037,40,221,214,9,\N
14227721,13541,Steven M. Drucker,254,10995,39,222,2167,18,\N
2099365047,15139,Jo Wood,125,2257,39,223,1061,18,\N
2056576592,14227,Dimitrios Tzovaras,518,3530,39,224,143,8,\N
2052614558,15483,Brian S. Thurow,143,1255,39,225,537,11,\N
2009084615,14542,Scott Klasky,214,4172,39,226,1346,14,\N
2155423936,12978,Enrico Bertini,852,27227,39,227,1029,16,\N
125784020,13801,Thomas J. Overbye,312,5723,39,228,491,12,\N
111041040,13945,Takeshi Furuhashi,426,3561,39,229,47,3,\N
2194545686,14380,Gerald Schaefer,443,4715,39,230,323,9,\N
2158833350,15286,Tomohiro Yoshikawa,230,551,39,231,51,3,\N
1229337910,16597,Simone Kriglstein,63,275,39,232,239,8,\N
2131835883,14591,Sisi Zlatanova,262,2895,38,233,350,10,\N
2071984077,13369,Mary Czerwinski,314,14231,38,234,1843,19,1
2116519607,13861,Juliana Freire,257,8151,38,235,2084,18,1
2100407811,15329,Takahiro Ogawa,267,534,38,236,60,4,\N
2304039527,15711,Kenji Ono,186,201,38,237,45,4,\N
2307725321,14831,Karrie Karahalios,145,3188,38,238,904,15,\N
2149631809,11414,Thomas S. Huang,1386,75366,38,239,920,15,\N
2149494377,15331,David Gotz,99,2141,38,240,793,14,\N
2166341251,13650,Pheng Ann Heng,564,10689,38,241,430,11,\N
2275486400,16288,Aidong Lu,71,658,38,242,342,10,\N
2299437103,12594,Lei Zhang,934,40975,38,243,1224,13,\N
2211407898,13996,Mo Samimy,298,7380,38,244,2044,21,\N
70881205,14169,Christopher Nimsky,346,8946,38,245,1290,13,\N
2007409689,15517,Hiroyuki Hirahara,202,374,37,246,133,5,\N
2436183587,13310,Ajit P. Yoganathan,736,16568,37,247,1224,19,\N
2406723774,14873,Paul M. Danehy,218,2400,37,248,421,14,\N
2300598665,14029,Meng Wang,389,12096,37,249,1905,20,\N
2289765131,12697,Joseph A. Izatt,663,28812,37,250,549,12,\N
2283139614,14718,Mihai Datcu,400,1434,37,251,186,8,\N
1995003537,14229,Steven G. Parker,128,4515,37,252,833,13,\N
2021940073,14381,Anatole LÃ©cuyer,243,5859,37,253,1277,16,\N
257767137,13254,Nils Gehlenborg,129,33994,37,254,1757,14,\N
2037139690,15916,Berk Geveci,52,1307,37,255,1118,12,\N
